tipo;dn;dn2;dn3;nps;od_mm;A;B;C;M;O;K_dim;E;E1;H;theta_deg;fT;K_fT;K;K_contraccion;K_expansion;referencia_K;nota
Te reductora – paso directo;850;850;750;34;864;;;635.0;610.0;;;;;;;0.0107;20;0.214;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;850;850;750;34;864;;;635.0;610.0;;;;;;;0.011;60;0.66;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;850;850;700;34;864;;;635.0;597.0;;;;;;;0.0107;20;0.214;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;850;850;700;34;864;;;635.0;597.0;;;;;;;0.0111;60;0.666;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;850;850;650;34;864;;;635.0;597.0;;;;;;;0.0107;20;0.214;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;850;850;650;34;864;;;635.0;597.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;850;850;600;34;864;;;635.0;584.0;;;;;;;0.0107;20;0.214;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;850;850;600;34;864;;;635.0;584.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;850;850;550;34;864;;;635.0;572.0;;;;;;;0.0107;20;0.214;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;850;850;550;34;864;;;635.0;572.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;850;850;500;34;864;;;635.0;559.0;;;;;;;0.0107;20;0.214;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;850;850;500;34;864;;;635.0;559.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;850;850;450;34;864;;;635.0;546.0;;;;;;;0.0107;20;0.214;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;850;850;450;34;864;;;635.0;546.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;850;850;400;34;864;;;635.0;533.0;;;;;;;0.0107;20;0.214;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;850;850;400;34;864;;;635.0;533.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;850;36;914;;;673.0;660.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;850;36;914;;;673.0;660.0;;;;;;;0.0107;60;0.642;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;800;36;914;;;673.0;648.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;800;36;914;;;673.0;648.0;;;;;;;0.0108;60;0.648;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;750;36;914;;;673.0;635.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;750;36;914;;;673.0;635.0;;;;;;;0.011;60;0.66;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;700;36;914;;;673.0;622.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;700;36;914;;;673.0;622.0;;;;;;;0.0111;60;0.666;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;650;36;914;;;673.0;622.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;650;36;914;;;673.0;622.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;600;36;914;;;673.0;610.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;600;36;914;;;673.0;610.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;550;36;914;;;673.0;597.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;550;36;914;;;673.0;597.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;500;36;914;;;673.0;584.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;500;36;914;;;673.0;584.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;450;36;914;;;673.0;572.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;450;36;914;;;673.0;572.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;900;900;400;36;914;;;673.0;559.0;;;;;;;0.0106;20;0.212;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;900;900;400;36;914;;;673.0;559.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;900;38;965;;;711.0;711.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;900;38;965;;;711.0;711.0;;;;;;;0.0106;60;0.636;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;850;38;965;;;711.0;698.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;850;38;965;;;711.0;698.0;;;;;;;0.0107;60;0.642;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;800;38;965;;;711.0;686.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;800;38;965;;;711.0;686.0;;;;;;;0.0108;60;0.648;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;750;38;965;;;711.0;673.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;750;38;965;;;711.0;673.0;;;;;;;0.011;60;0.66;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;700;38;965;;;711.0;648.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;700;38;965;;;711.0;648.0;;;;;;;0.0111;60;0.666;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;650;38;965;;;711.0;648.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;650;38;965;;;711.0;648.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;600;38;965;;;711.0;635.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;600;38;965;;;711.0;635.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;550;38;965;;;711.0;622.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;550;38;965;;;711.0;622.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;500;38;965;;;711.0;610.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;500;38;965;;;711.0;610.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;950;950;450;38;965;;;711.0;597.0;;;;;;;0.0105;20;0.21;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;950;950;450;38;965;;;711.0;597.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;950;40;1016;;;749.0;749.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;950;40;1016;;;749.0;749.0;;;;;;;0.0105;60;0.63;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;900;40;1016;;;749.0;737.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;900;40;1016;;;749.0;737.0;;;;;;;0.0106;60;0.636;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;850;40;1016;;;749.0;724.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;850;40;1016;;;749.0;724.0;;;;;;;0.0107;60;0.642;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;800;40;1016;;;749.0;711.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;800;40;1016;;;749.0;711.0;;;;;;;0.0108;60;0.648;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;750;40;1016;;;749.0;698.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;750;40;1016;;;749.0;698.0;;;;;;;0.011;60;0.66;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;700;40;1016;;;749.0;673.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;700;40;1016;;;749.0;673.0;;;;;;;0.0111;60;0.666;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;650;40;1016;;;749.0;673.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;650;40;1016;;;749.0;673.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;600;40;1016;;;749.0;660.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;600;40;1016;;;749.0;660.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;550;40;1016;;;749.0;648.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;550;40;1016;;;749.0;648.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;500;40;1016;;;749.0;635.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;500;40;1016;;;749.0;635.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1000;1000;450;40;1016;;;749.0;622.0;;;;;;;0.0104;20;0.208;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1000;1000;450;40;1016;;;749.0;622.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;1000;42;1067;;;762.0;711.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;1000;42;1067;;;762.0;711.0;;;;;;;0.0104;60;0.624;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;950;42;1067;;;762.0;711.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;950;42;1067;;;762.0;711.0;;;;;;;0.0105;60;0.63;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;900;42;1067;;;762.0;711.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;900;42;1067;;;762.0;711.0;;;;;;;0.0106;60;0.636;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;850;42;1067;;;762.0;711.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;850;42;1067;;;762.0;711.0;;;;;;;0.0107;60;0.642;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;800;42;1067;;;762.0;711.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;800;42;1067;;;762.0;711.0;;;;;;;0.0108;60;0.648;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;750;42;1067;;;762.0;711.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;750;42;1067;;;762.0;711.0;;;;;;;0.011;60;0.66;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;700;42;1067;;;762.0;698.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;700;42;1067;;;762.0;698.0;;;;;;;0.0111;60;0.666;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;650;42;1067;;;762.0;698.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;650;42;1067;;;762.0;698.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;600;42;1067;;;762.0;660.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;600;42;1067;;;762.0;660.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;550;42;1067;;;762.0;660.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;550;42;1067;;;762.0;660.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;500;42;1067;;;762.0;660.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;500;42;1067;;;762.0;660.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;450;42;1067;;;762.0;648.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;450;42;1067;;;762.0;648.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1050;1050;400;42;1067;;;762.0;635.0;;;;;;;0.0103;20;0.206;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1050;1050;400;42;1067;;;762.0;635.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;1050;44;1118;;;813.0;762.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;1050;44;1118;;;813.0;762.0;;;;;;;0.0103;60;0.618;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;1000;44;1118;;;813.0;749.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;1000;44;1118;;;813.0;749.0;;;;;;;0.0104;60;0.624;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;950;44;1118;;;813.0;737.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;950;44;1118;;;813.0;737.0;;;;;;;0.0105;60;0.63;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;900;44;1118;;;813.0;724.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;900;44;1118;;;813.0;724.0;;;;;;;0.0106;60;0.636;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;850;44;1118;;;813.0;724.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;850;44;1118;;;813.0;724.0;;;;;;;0.0107;60;0.642;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;800;44;1118;;;813.0;711.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;800;44;1118;;;813.0;711.0;;;;;;;0.0108;60;0.648;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;750;44;1118;;;813.0;711.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;750;44;1118;;;813.0;711.0;;;;;;;0.011;60;0.66;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;700;44;1118;;;813.0;698.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;700;44;1118;;;813.0;698.0;;;;;;;0.0111;60;0.666;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;650;44;1118;;;813.0;698.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;650;44;1118;;;813.0;698.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;600;44;1118;;;813.0;698.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;600;44;1118;;;813.0;698.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;550;44;1118;;;813.0;686.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;550;44;1118;;;813.0;686.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1100;1100;500;44;1118;;;813.0;686.0;;;;;;;0.0102;20;0.204;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1100;1100;500;44;1118;;;813.0;686.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;1100;46;1168;;;851.0;800.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;1100;46;1168;;;851.0;800.0;;;;;;;0.0102;60;0.612;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;1050;46;1168;;;851.0;787.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;1050;46;1168;;;851.0;787.0;;;;;;;0.0103;60;0.618;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;1000;46;1168;;;851.0;775.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;1000;46;1168;;;851.0;775.0;;;;;;;0.0104;60;0.624;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;950;46;1168;;;851.0;762.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;950;46;1168;;;851.0;762.0;;;;;;;0.0105;60;0.63;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;900;46;1168;;;851.0;762.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;900;46;1168;;;851.0;762.0;;;;;;;0.0106;60;0.636;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;850;46;1168;;;851.0;749.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;850;46;1168;;;851.0;749.0;;;;;;;0.0107;60;0.642;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;800;46;1168;;;851.0;749.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;800;46;1168;;;851.0;749.0;;;;;;;0.0108;60;0.648;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;750;46;1168;;;851.0;737.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;750;46;1168;;;851.0;737.0;;;;;;;0.011;60;0.66;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;700;46;1168;;;851.0;737.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;700;46;1168;;;851.0;737.0;;;;;;;0.0111;60;0.666;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;650;46;1168;;;851.0;737.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;650;46;1168;;;851.0;737.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;600;46;1168;;;851.0;724.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;600;46;1168;;;851.0;724.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1150;1150;550;46;1168;;;851.0;724.0;;;;;;;0.0101;20;0.202;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1150;1150;550;46;1168;;;851.0;724.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1200;1200;1150;48;1219;;;889.0;838.0;;;;;;;0.01;20;0.2;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1200;1200;1150;48;1219;;;889.0;838.0;;;;;;;0.0101;60;0.606;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1200;1200;1100;48;1219;;;889.0;838.0;;;;;;;0.01;20;0.2;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1200;1200;1100;48;1219;;;889.0;838.0;;;;;;;0.0102;60;0.612;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1200;1200;1050;48;1219;;;889.0;813.0;;;;;;;0.01;20;0.2;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1200;1200;1050;48;1219;;;889.0;813.0;;;;;;;0.0103;60;0.618;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1200;1200;1000;48;1219;;;889.0;813.0;;;;;;;0.01;20;0.2;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1200;1200;1000;48;1219;;;889.0;813.0;;;;;;;0.0104;60;0.624;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;1200;1200;950;48;1219;;;889.0;813.0;;;;;;;0.01;20;0.2;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;1200;1200;950;48;1219;;;889.0;813.0;;;;;;;0.0105;60;0.63;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
